"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","treeParentAck_shouldHaveCorrectTypeAndVersion()","","Thu Apr 09 07:14:28 UTC 2026","failed","Thu Apr 09 07:14:28 UTC 2026","","fr.uga.im2ag.m1info.physical.EnvelopeTest","fr.uga.im2ag.m1info.physical.EnvelopeTest","treeParentAck_shouldHaveCorrectTypeAndVersion"
"","1","data_shouldPreserveArbitraryPayloads(String) [2] ","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","data_shouldPreserveArbitraryPayloads"
"","7","message_messageIdShouldBeValidUuid()","","Thu Apr 09 07:14:42 UTC 2026","failed","Thu Apr 09 07:14:42 UTC 2026","","fr.uga.im2ag.m1info.physical.MessageTest","fr.uga.im2ag.m1info.physical.MessageTest","message_messageIdShouldBeValidUuid"
"","1","initialHost_shouldBeVirtualIdModNumPhysical(int, int, int, int) V1 in ring 4 with 2 physicals → initial host P1","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","initialHost_shouldBeVirtualIdModNumPhysical"
"","1","payloadPrefix_constantShouldBeVpipe()","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","payloadPrefix_constantShouldBeVpipe"
"","1","data_shouldAcceptNullPayload()","","Thu Apr 09 07:14:25 UTC 2026","passed","Thu Apr 09 07:14:25 UTC 2026","","fr.uga.im2ag.m1info.physical.EnvelopeTest","fr.uga.im2ag.m1info.physical.EnvelopeTest","data_shouldAcceptNullPayload"
"","1","data_shouldSetTypeAndFields()","","Thu Apr 09 07:14:39 UTC 2026","failed","Thu Apr 09 07:14:39 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","data_shouldSetTypeAndFields"
"","4","onElection_whenAlreadyReady_shouldTriggerRebuildWithHigherVersion()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onElection_whenAlreadyReady_shouldTriggerRebuildWithHigherVersion"
"","2","getNeighbors_returnsUnmodifiableList()","","Thu Apr 09 07:14:24 UTC 2026","passed","Thu Apr 09 07:14:24 UTC 2026","","fr.uga.im2ag.m1info.physical.NetworkConfigTest","fr.uga.im2ag.m1info.physical.NetworkConfigTest","getNeighbors_returnsUnmodifiableList"
"","3","fromFile_linearChain_neighborsAreCorrect()","","Thu Apr 09 07:14:21 UTC 2026","passed","Thu Apr 09 07:14:21 UTC 2026","","fr.uga.im2ag.m1info.physical.NetworkConfigTest","fr.uga.im2ag.m1info.physical.NetworkConfigTest","fromFile_linearChain_neighborsAreCorrect"
"","0","afterMigration_sendRight_shouldStillDeliverMessages()","","Thu Apr 09 07:13:48 UTC 2026","skipped","Thu Apr 09 07:13:48 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","afterMigration_sendRight_shouldStillDeliverMessages"
"","1","data_shouldAcceptEmptyPayload()","","Thu Apr 09 07:14:25 UTC 2026","passed","Thu Apr 09 07:14:25 UTC 2026","","fr.uga.im2ag.m1info.physical.EnvelopeTest","fr.uga.im2ag.m1info.physical.EnvelopeTest","data_shouldAcceptEmptyPayload"
"","1","data_shouldGenerateUniqueMessageIds()","","Thu Apr 09 07:14:27 UTC 2026","failed","Thu Apr 09 07:14:27 UTC 2026","","fr.uga.im2ag.m1info.physical.EnvelopeTest","fr.uga.im2ag.m1info.physical.EnvelopeTest","data_shouldGenerateUniqueMessageIds"
"","1","toString_shouldNotThrowAndIncludeFields()","","Thu Apr 09 07:14:41 UTC 2026","passed","Thu Apr 09 07:14:41 UTC 2026","","fr.uga.im2ag.m1info.physical.MessageTest","fr.uga.im2ag.m1info.physical.MessageTest","toString_shouldNotThrowAndIncludeFields"
"","3","getNeighbors_shouldReturnUnmodifiableSnapshot()","","Thu Apr 09 07:14:35 UTC 2026","passed","Thu Apr 09 07:14:35 UTC 2026","","fr.uga.im2ag.m1info.physical.PhysicalNodeUnitTest","fr.uga.im2ag.m1info.physical.PhysicalNodeUnitTest","getNeighbors_shouldReturnUnmodifiableSnapshot"
